obj_id,activity,enabled_time,start_time,end_time,role,resource,wip_wait,wip_start,wip_end,wip_activity,ro_total,ro_single,queue,prefix,relationships,attribute_object,attribute_event
truck_0,Prepare,2026-01-01 09:00:00,2026-01-01 09:00:00,2026-01-01 09:04:27,Role truck,C,3,3,3,3,"[1.0, 0.0, 0.0, 0.0, 0.0]",1.0,0,['Prepare'],{},{},{}
truck_2,Prepare,2026-01-01 09:00:00,2026-01-01 09:00:00,2026-01-01 09:17:40,Role truck,E,3,3,38,3,"[1.0, 0.0, 0.0, 0.0, 0.0]",1.0,0,['Prepare'],{},{},{}
order_196,Place Order,2026-01-01 09:11:02,2026-01-01 09:11:12,2026-01-01 09:32:00,Role 1 order,Dylan,6,6,91,3,"[0.67, 0.75, 0.0, 0.0, 0.0]",0.75,0,['Place Order'],"{'item_196_0', 'item_196_1'}",{},{}
item_196_0,Select,2026-01-01 09:32:00,2026-01-01 09:32:00,2026-01-01 09:33:00,Role 1 item,Pete,93,93,95,2,"[0.33, 1.0, 0.0, 0.5, 0.0]",0.5,0,['Select'],{'order_196'},{'Price': 530},{}
item_196_1,Select,2026-01-01 09:32:00,2026-01-01 09:32:00,2026-01-01 09:33:00,Role 1 item,Sue,93,93,95,2,"[0.33, 1.0, 0.0, 0.5, 0.0]",0.5,0,['Select'],{'order_196'},{'Price': 551},{}
truck_1,Prepare,2026-01-01 09:00:00,2026-01-01 09:00:00,2026-01-01 09:33:34,Role truck,D,3,3,97,3,"[1.0, 0.0, 0.0, 0.0, 0.0]",1.0,0,['Prepare'],{},{},{}
item_196_1,Remove Item,2026-01-01 09:33:00,2026-01-01 09:33:00,2026-01-01 09:37:43,Role 1 item,Max,95,95,120,1,"[0.33, 1.0, 0.0, 0.25, 0.25]",0.25,0,"['Select', 'Remove Item']",{'order_196'},{'Price': 551},{}
order_124,Place Order,2026-01-01 09:11:30,2026-01-01 09:32:00,2026-01-01 09:38:21,Role 1 order,Dylan,8,93,122,4,"[0.33, 1.0, 0.0, 0.0, 0.0]",1.0,0,['Place Order'],"{'item_124_0', 'item_124_1'}",{},{}
order_179,Place Order,2026-01-01 09:10:56,2026-01-01 09:11:06,2026-01-01 09:39:03,Role 1 order,Sue,5,6,126,2,"[0.67, 0.5, 0.0, 0.0, 0.0]",0.5,0,['Place Order'],"{'item_179_1', 'item_179_0'}",{},{}
item_124_0,Select,2026-01-01 09:38:21,2026-01-01 09:38:21,2026-01-01 09:39:21,Role 1 item,Sara,124,124,129,2,"[0.0, 1.0, 0.0, 0.5, 0.25]",0.5,0,['Select'],{'order_124'},{'Price': 830},{}
item_124_1,Select,2026-01-01 09:38:21,2026-01-01 09:38:21,2026-01-01 09:39:21,Role 1 item,Pete,124,124,129,2,"[0.0, 1.0, 0.0, 0.5, 0.25]",0.5,0,['Select'],{'order_124'},{'Price': 828},{}
item_179_0,Select,2026-01-01 09:39:03,2026-01-01 09:39:03,2026-01-01 09:40:03,Role 1 item,Sue,128,128,133,4,"[0.0, 1.0, 0.0, 1.0, 0.25]",1.0,0,['Select'],{'order_179'},{'Price': 531},{}
item_179_1,Select,2026-01-01 09:39:03,2026-01-01 09:39:03,2026-01-01 09:40:03,Role 1 item,Max,128,128,133,4,"[0.0, 1.0, 0.0, 1.0, 0.25]",1.0,0,['Select'],{'order_179'},{'Price': 790},{}
item_196_0,Pick Item,2026-01-01 09:33:00,2026-01-01 09:33:00,2026-01-01 09:41:11,Role 2 item,Bob,95,95,135,1,"[0.33, 1.0, 0.0, 0.25, 0.25]",0.25,0,"['Select', 'Pick Item']",{'order_196'},{'Price': 530},{}
item_124_1,Remove Item,2026-01-01 09:39:21,2026-01-01 09:39:21,2026-01-01 09:43:14,Role 1 item,Sara,129,129,138,1,"[0.0, 1.0, 0.0, 0.75, 0.5]",0.75,0,"['Select', 'Remove Item']",{'order_124'},{'Price': 828},{}
item_124_0,Pick Item,2026-01-01 09:39:21,2026-01-01 09:39:21,2026-01-01 09:44:26,Role 2 item,Alice,129,129,144,2,"[0.0, 1.0, 0.0, 0.75, 0.5]",0.5,0,"['Select', 'Pick Item']",{'order_124'},{'Price': 830},{}
item_179_0,Pick Item,2026-01-01 09:40:03,2026-01-01 09:40:03,2026-01-01 09:44:45,Role 2 item,Denise,133,133,144,4,"[0.0, 1.0, 0.0, 0.25, 1.0]",1.0,0,"['Select', 'Pick Item']",{'order_179'},{'Price': 531},{}
item_179_1,Pick Item,2026-01-01 09:40:03,2026-01-01 09:40:03,2026-01-01 09:47:57,Role 2 item,Sue,133,133,153,4,"[0.0, 1.0, 0.0, 0.25, 1.0]",1.0,0,"['Select', 'Pick Item']",{'order_179'},{'Price': 790},{}
order_131,Place Order,2026-01-01 09:10:52,2026-01-01 09:11:02,2026-01-01 09:53:18,Role 1 order,Pete,4,5,171,1,"[0.67, 0.25, 0.0, 0.0, 0.0]",0.25,0,['Place Order'],"{'item_131_1', 'item_131_0'}",{},{}
item_131_0,Select,2026-01-01 09:53:18,2026-01-01 09:53:18,2026-01-01 09:54:18,Role 1 item,Pete,173,173,183,2,"[0.0, 1.0, 0.0, 0.5, 0.0]",0.5,0,['Select'],{'order_131'},{'Price': 229},{}
