obj_id,activity,enabled_time,start_time,end_time,role,resource,wip_wait,wip_start,wip_end,wip_activity,ro_total,ro_single,queue,prefix,relationships,attribute_object,attribute_event
truck_2,Prepare,2026-01-01 09:00:00,2026-01-01 09:00:00,2026-01-01 09:11:26,Role truck,E,3,3,7,3,"[1.0, 0.0, 0.0, 0.0, 0.0]",1.0,0,['Prepare'],{},{},{}
truck_1,Prepare,2026-01-01 09:00:00,2026-01-01 09:00:00,2026-01-01 09:21:00,Role truck,D,3,3,45,3,"[1.0, 0.0, 0.0, 0.0, 0.0]",1.0,0,['Prepare'],{},{},{}
truck_0,Prepare,2026-01-01 09:00:00,2026-01-01 09:00:00,2026-01-01 09:25:11,Role truck,C,2,3,62,2,"[1.0, 0.0, 0.0, 0.0, 0.0]",1.0,0,['Prepare'],{},{},{}
order_181,Place Order,2026-01-01 09:11:25,2026-01-01 09:11:35,2026-01-01 09:25:21,Role 1 order,Francy,7,7,65,4,"[0.67, 1.0, 0.0, 0.0, 0.0]",1.0,0,['Place Order'],"{'item_181_1', 'item_181_0'}",{},{}
item_181_0,Select,2026-01-01 09:25:21,2026-01-01 09:25:21,2026-01-01 09:26:21,Role 1 item,Pete,67,67,73,2,"[0.0, 1.0, 0.0, 0.5, 0.0]",0.5,0,['Select'],{'order_181'},{'Price': 324},{}
item_181_1,Select,2026-01-01 09:25:21,2026-01-01 09:25:21,2026-01-01 09:26:21,Role 1 item,Sue,67,67,73,2,"[0.0, 1.0, 0.0, 0.5, 0.0]",0.5,0,['Select'],{'order_181'},{'Price': 755},{}
item_181_1,Pick Item,2026-01-01 09:26:21,2026-01-01 09:26:21,2026-01-01 09:29:38,Role 2 item,Alice,73,73,81,2,"[0.0, 1.0, 0.0, 0.0, 0.5]",0.5,0,"['Select', 'Pick Item']",{'order_181'},{'Price': 755},{}
order_58,Place Order,2026-01-01 09:11:46,2026-01-01 09:25:21,2026-01-01 09:29:46,Role 1 order,Francy,8,67,81,4,"[0.0, 1.0, 0.0, 0.0, 0.0]",1.0,0,['Place Order'],"{'item_58_0', 'item_58_1'}",{},{}
item_181_0,Pick Item,2026-01-01 09:26:21,2026-01-01 09:26:21,2026-01-01 09:30:32,Role 2 item,Bob,73,73,86,2,"[0.0, 1.0, 0.0, 0.0, 0.5]",0.5,0,"['Select', 'Pick Item']",{'order_181'},{'Price': 324},{}
item_58_0,Select,2026-01-01 09:29:46,2026-01-01 09:29:46,2026-01-01 09:30:46,Role 1 item,Max,83,83,86,2,"[0.0, 1.0, 0.0, 0.5, 0.25]",0.5,0,['Select'],{'order_58'},{'Price': 921},{}
item_58_1,Select,2026-01-01 09:29:46,2026-01-01 09:29:46,2026-01-01 09:30:46,Role 1 item,Sara,83,83,86,2,"[0.0, 1.0, 0.0, 0.5, 0.25]",0.5,0,['Select'],{'order_58'},{'Price': 716},{}
item_58_0,Pick Item,2026-01-01 09:30:46,2026-01-01 09:30:46,2026-01-01 09:35:19,Role 2 item,Denise,86,86,107,2,"[0.0, 1.0, 0.0, 0.0, 0.5]",0.5,0,"['Select', 'Pick Item']",{'order_58'},{'Price': 921},{}
item_58_1,Pick Item,2026-01-01 09:30:46,2026-01-01 09:30:46,2026-01-01 09:38:18,Role 2 item,Sue,86,86,118,2,"[0.0, 1.0, 0.0, 0.0, 0.5]",0.5,0,"['Select', 'Pick Item']",{'order_58'},{'Price': 716},{}
order_35,Place Order,2026-01-01 09:10:54,2026-01-01 09:11:04,2026-01-01 09:39:43,Role 1 order,Dylan,6,6,128,3,"[1.0, 0.75, 0.0, 0.0, 0.0]",0.75,0,['Place Order'],"{'item_35_0', 'item_35_1'}",{},{}
item_35_0,Select,2026-01-01 09:39:43,2026-01-01 09:39:43,2026-01-01 09:40:43,Role 1 item,Pete,130,130,133,2,"[0.0, 1.0, 0.0, 0.5, 0.0]",0.5,0,['Select'],{'order_35'},{'Price': 168},{}
item_35_1,Select,2026-01-01 09:39:43,2026-01-01 09:39:43,2026-01-01 09:40:43,Role 1 item,Sue,130,130,133,2,"[0.0, 1.0, 0.0, 0.5, 0.0]",0.5,0,['Select'],{'order_35'},{'Price': 105},{}
order_87,Place Order,2026-01-01 09:10:28,2026-01-01 09:10:38,2026-01-01 09:43:54,Role 1 order,Sue,5,5,150,2,"[1.0, 0.5, 0.0, 0.0, 0.0]",0.5,0,['Place Order'],"{'item_87_1', 'item_87_0'}",{},{}
item_35_0,Pick Item,2026-01-01 09:40:43,2026-01-01 09:40:43,2026-01-01 09:44:22,Role 2 item,Alice,133,133,155,1,"[0.0, 1.0, 0.0, 0.25, 0.25]",0.25,0,"['Select', 'Pick Item']",{'order_35'},{'Price': 168},{}
item_35_1,Remove Item,2026-01-01 09:40:43,2026-01-01 09:40:43,2026-01-01 09:44:53,Role 1 item,Max,133,133,157,1,"[0.0, 1.0, 0.0, 0.25, 0.25]",0.25,0,"['Select', 'Remove Item']",{'order_35'},{'Price': 105},{}
item_87_0,Select,2026-01-01 09:43:54,2026-01-01 09:43:54,2026-01-01 09:44:54,Role 1 item,Sara,152,152,156,2,"[0.0, 1.0, 0.0, 0.75, 0.25]",0.75,0,['Select'],{'order_87'},{'Price': 341},{}
item_87_1,Select,2026-01-01 09:43:54,2026-01-01 09:43:54,2026-01-01 09:44:54,Role 1 item,Pete,152,152,156,2,"[0.0, 1.0, 0.0, 0.75, 0.25]",0.75,0,['Select'],{'order_87'},{'Price': 62},{}
